product_id,last_updated,category,brand,price_inr,stock_quantity,rating,review_count,is_active,sku
PROD63991,2026-09-05,Home & Kitchen,OffBrand,46799.0,257,1.907147878753861,537.0,True,SKU-888923
PROD91561,2026-09-06,Home & Kitchen,BrandA,37303.0,14,4.85104982950406,975.0,True,SKU-259982
PROD89576,2026-09-14,Home & Kitchen,BrandB,36046.0,480,3.3913783769937913,536.0,True,SKU-819426
PROD28049,2026-09-06,Clothing,NoName,8330.0,55,3.13416635215428,,True,SKU-419817
PROD37046,2026-09-12,Clothing,NoName,323.0,432,1.1209869015366083,1778.0,True,SKU-384948
PROD48839,2026-09-07,Electronics,BrandB,15572.0,238,1.2508539915022747,64.0,True,SKU-321838
PROD57528,2026-09-09,Home & Kitchen,BrandA,34622.0,282,2.1820908985323744,1713.0,True,SKU-336275
PROD16605,2026-09-11,Electronics,NoName,15994.0,170,2.288949756863483,3191.0,True,SKU-897478
PROD82071,2026-09-08,Clothing,Premium,29299.0,335,4.163585007699751,75.0,True,SKU-408953
PROD26554,2026-09-05,Clothing,BrandC,27468.0,197,8.610586613736935,4325.0,True,SKU-338157
PROD98404,2026-09-13,Electronics,Premium,27549.0,493,1.1699599275084753,834.0,True,SKU-278981
PROD43346,2026-09-12,Clothing,OffBrand,17553.0,4,3.369843906530835,1157.0,True,SKU-901927
PROD47849,2026-09-13,Electronics,BrandB,44258.0,493,1.7844526607208788,1429.0,True,SKU-828921
PROD13691,2026-09-03,Home & Kitchen,BrandC,18612.0,279,1.2408050055996602,1047.0,True,SKU-827190
PROD10794,2026-09-01,Toys,BrandB,33699.0,475,4.420047176219217,444.0,True,SKU-439792
PROD94805,2026-09-03,Sports,NoName,17568.0,45,9.422372098682313,2738.0,True,SKU-835606
PROD35452,2026-09-12,Books,BrandB,17888.0,94,,3432.0,False,SKU-404978
PROD78496,2026-09-06,Clothing,BrandB,41383.0,458,3.1742578052513593,489.0,True,SKU-873822
PROD53107,2026-09-14,Electronics,NoName,5690.0,390,4.317532425931094,1660.0,False,SKU-596055
PROD24917,2026-09-04,Electronics,,37360.0,487,4.174211897152038,1221.0,False,SKU-266451
PROD76943,2026-09-04,Toys,BrandA,41686.0,202,4.531946228324899,213.0,True,SKU-979071
PROD46269,2026-09-05,Clothing,BrandB,4132.0,463,4.315330824878576,4712.0,True,SKU-720517
PROD54587,2026-09-08,Home & Kitchen,BrandA,4792.0,392,4.8401058495438285,4692.0,True,SKU-652238
PROD91778,2026-09-01,Sports,BrandC,37203.0,-70,3.3245325242815276,457.0,False,SKU-691974
PROD48196,2026-09-13,Electronics,NoName,42471.0,259,3.925786589103613,3643.0,True,SKU-974994
PROD55097,2026-09-02,Home & Kitchen,BrandA,45948.0,42,4.943611182051487,2779.0,False,SKU-547529
PROD35421,2026-09-03,Clothing,Premium,8742.0,479,4.367340139408449,888.0,False,SKU-365987
PROD90561,2026-09-06,Electronics,NoName,31745.0,122,3.183025423039317,2897.0,True,SKU-254044
PROD92595,2026-09-08,Home & Kitchen,BrandA,8965.0,467,1.830067679603721,,True,SKU-232538
PROD17022,2026-09-03,Home & Kitchen,OffBrand,15628.0,309,2.8840749262626173,,False,SKU-646918
PROD66923,2026-09-13,Clothing,BrandB,35356.0,357,1.407392777599878,663.0,False,SKU-707251
PROD26393,2026-09-06,Sports,OffBrand,4732.0,429,1.3346090526072096,3824.0,True,SKU-298201
PROD63823,2026-09-04,Clothing,BrandC,43990.0,-52,3.6295816092269177,1659.0,True,SKU-170676
PROD82873,2026-09-02,Home & Kitchen,BrandA,39383.0,363,2.5000767812110705,3261.0,True,SKU-100884
PROD82671,2026-09-05,Books,BrandC,1628.0,210,2.1509414175294106,4336.0,True,SKU-341268
PROD25508,2026-09-13,Books,NoName,0.0,25,3.6383668902246526,2995.0,True,SKU-935284
PROD34244,2026-09-04,Electronics,NoName,24025.0,137,3.5536024112829927,1826.0,True,SKU-174718
PROD90667,2026-09-10,Clothing,,18360.0,45,2.1977728711538265,1890.0,True,SKU-964452
PROD87231,2026-09-03,Clothing,BrandB,28980.0,444,4.496234755379678,1810.0,True,SKU-778448
PROD13379,2026-09-14,Home & Kitchen,OffBrand,41033.0,461,3.2475113424534423,2599.0,True,SKU-364899
PROD42935,2026-09-01,Books,Premium,846.0,26,2.290363993889077,349.0,True,SKU-601066
PROD66591,2026-09-03,Clothing,Premium,4302.0,223,2.9908749049116645,3085.0,True,SKU-672634
PROD41423,2026-09-14,Clothing,BrandB,14491.0,67,1.9323277549256823,1023.0,True,SKU-373190
PROD87362,2026-09-07,Toys,NoName,12440.0,133,2.104352933386753,1405.0,True,SKU-591768
PROD94874,2026-09-08,Clothing,BrandC,45242.0,430,2.6677404335317445,3536.0,True,SKU-683300
PROD54441,2026-09-07,Sports,OffBrand,1766.0,227,,2767.0,True,SKU-330360
PROD46492,2026-09-10,Home & Kitchen,BrandC,4889.0,432,2.271922624077923,3062.0,True,SKU-627222
PROD68624,2026-09-02,Sports,NoName,47906.0,483,1.9117296577245142,1816.0,True,SKU-825744
PROD42829,2026-09-01,Clothing,BrandC,33061.0,182,4.883431123725918,3010.0,True,SKU-769889
PROD55904,2026-09-02,Toys,Premium,4656.0,172,3.101263981384499,3213.0,True,SKU-901309
PROD14606,2026-09-10,Sports,Premium,582.0,126,2.586598837772393,256.0,True,SKU-175690
PROD76801,2026-09-02,Clothing,NoName,42150.0,278,3.7661100783218258,3462.0,True,SKU-152689
PROD66990,2026-09-07,Home & Kitchen,OffBrand,20787.0,191,4.6236798541264825,,True,SKU-331172
